Column1;Column2;Column3;Column4;Column5;Column6
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
HASKÖY AYA PARASKEVÝ RUM ORTODOKS KÝLÝSESÝ- ÇAN KULESÝ;BEYOÐLU;PÝRÝPAÞA;OSMANLI;40.9900926;28.9135593
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;NÝÞANCI;OSMANLI;41.0742819;28.9230501
HIMIÞ EV;ÇATALCA;FATÝH;;41.4913801;28.1664801
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;MERKEZ;OSMANLI;41.0521292;28.9665703
HIMIÞ EV;ÇATALCA;FATÝH;;41.4913801;28.1664801
AHÞAP EV;FATÝH;ZEYREK;OSMANLI;41.0588715;28.9948144
KÂRGÝR APARTMAN;FATÝH;MÝMAR HAYRETTÝN;OSMANLI;41.0074242;28.9666918
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
LAMBRÝNÝDÝ HAN;BEYOÐLU;ÞAHKULU;OSMANLI;41.0274432;28.9739688
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HACIMÝMÝ;;41.049433;28.944783
KARGÝR EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
AHÞAP EV;BEÞÝKTAÞ;BEBEK;OSMANLI;41.068616;29.0285355
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HOBYAR;OSMANLI;41.0139702;28.9701897
DARÜLACEZE KOMPLEKSÝ - MÜDÜRÝYET;ÞÝÞLÝ;HALÝL RIFAT PAÞA;OSMANLI;41.0319785;28.9171599
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;RUMELÝ KAVAÐI;;41.1823062;29.0737944
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;TÜRKALÝ;OSMANLI;41.0476515;29.00161829999999
VELÝEFENDÝ HÝPODROMU - AHIRLAR;BAKIRKÖY;OSMANÝYE;;40.9865607;28.8875399
5 NOLU GÜMRÜK BÝNALARI (A BLOK);KADIKÖY;RASÝMPAÞA;OSMANLI;41.0527307;29.0103942
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
ÝÞYERÝ;FATÝH;RÜSTEMPAÞA;OSMANLI;41.015386;28.959495
KÂRGÝR EV;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
PAÞA LÝMANI UN DEÐÝRMENÝ;ÜSKÜDAR;SULTANTEPE;OSMANLI;41.0311971;29.0205507
KALINTI;FATÝH;CANKURTARAN;;41.0103672;28.9834284
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;MERKEZ;CUMHURÝYET;41.0521292;28.9665703
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0177011;28.9619616
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
ÇEÞME;BEYOÐLU;HACIAHMET;;41.0425004;28.9739688
YENÝÞEHÝR RUM ÝLKÖÐRETÝM OKULU;BEYOÐLU;YENÝÞEHÝR;OSMANLI;41.007054;28.9545646
KÂRGÝR BÝNA ;FATÝH;AYVANSARAY;OSMANLI;41.03543930000001;28.9426752
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AKSARAY;OSMANLI;41.0139702;28.9701897
LOHUSA KADIN TÜRBESÝ;BEYOÐLU;BEDRETTÝN;OSMANLI;41.0283972;28.9706333
KÂRGÝR YAPI;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.0236074;28.9710581
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;BURGAZADA;OSMANLI;40.88;29.0669444
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;BOSTANCI;OSMANLI;40.9583172;29.0968982
AHÞAP EV;KADIKÖY;HASANPAÞA;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;VÝÞNEZADE;;41.0415031;28.9987081
KARGÝR EV;FATÝH;ALEMDAR;OSMANLI;41.0096655;28.9754242
FERRUH BAÞAÐA DUVAR MOZAÝÐÝ - 1;BEÞÝKTAÞ;KONAKLAR;CUMHURÝYET;41.0752244;29.0353577
ÖZBEKLER TEKKESÝ - ÇÝLEHANE;FATÝH;BÝNBÝRDÝREK;OSMANLI;41.0051322;28.9724352
ROMA DÖNEMÝ SU YOLU KALINTISI;EYÜPSULTAN;RAMÝ CUMA;ROMA;41.04950729999999;28.9230225
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;;41.049433;28.944783
TÜTÜN DEPOSU;FATÝH;ALÝ KUÞÇU;OSMANLI;41.0269965;28.9782328
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;ÝMRENLÝ;OSMANLI;41.1477;29.7396
KARGÝR EV;FATÝH;HACI KADIN;CUMHURÝYET;41.0186888;28.9594145
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;ÝNÖNÜ;OSMANLI;41.0521292;28.9665703
CAMÝALTI TERSANESÝ_34 NUMARALI KAGÝR BÝNA;BEYOÐLU;CAMÝÝKEBÝR;OSMANLI;41.0375763;28.9520768
ÝSHAK PAÞA CAMÝÝ ÝHATA DUVARI VE KAPI;FATÝH;CANKURTARAN;OSMANLI;41.006402;28.9815681
SÝFON YAPISI;EYÜPSULTAN;MÝTHATPAÞA;;41.162614;28.90932
TONOZLU YAPILAR;FATÝH;AKSARAY;;41.0040565;28.9654893
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;BOZKURT;CUMHURÝYET;41.0521292;28.9665703
YAPI KALINTISI;AVCILAR;TAHTAKALE;;41.0586877;28.7256312
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MÝMAR HAYRETTÝN;OSMANLI;41.0074242;28.9666918
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;SULTAN AHMET;OSMANLI;41.0078742;28.97783129999999
AHÞAP EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.0588715;28.9948144
HASIRCIZADE TEKKESÝ - HAZÝRE;BEYOÐLU;SÜTLÜCE;;41.04819800000001;28.93513339999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;ÝSLAMBEY;OSMANLI;41.0556338;28.9310833
HALVETÝ TEKKESÝ HAZÝRESÝ - SERTARÝKZADE MEHMED EMÝN EFENDÝ TÜRBESÝ;EYÜPSULTAN;NÝÞANCI;OSMANLI;40.99651180000001;28.927363
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;RASÝMPAÞA;OSMANLI;40.9919939;29.0291886
HIMIÞ EV;ÇATALCA;BELGRAT;OSMANLI;41.3322014;28.3812562
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
HELVAÝ YAKUP EFENDÝ TÜRBESÝ;FATÝH;KALENDERHANE;OSMANLI;41.0129433;28.9610939
SÝVÝL MÝMARLIK ÖRNEÐÝ;BÜYÜKÇEKMECE;MÝMAR SÝNAN;OSMANLI;41.014505;28.561044
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;YENÝKÖY;OSMANLI;41.0952869;29.0328543
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;BULGURLU;OSMANLI;41.0220207;29.08042399999999
SULTANAHMET TÝCARET LÝSESÝ;FATÝH;SULTAN AHMET;CUMHURÝYET;41.0078742;28.97783129999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
ARAP CAMÝÝ - SÜTUN VE SÜTUN BAÞLIÐI KALINTILARI;BEYOÐLU;ARAP CAMÝ;BÝZANS;41.0243025;28.971025
BET YAZKOV SÝNAGOGU;ADALAR;HEYBELÝADA;CUMHURÝYET;40.8784798;29.0987763
AHÞAP EV;ÞÝLE;BALÝBEY;OSMANLI;41.1669847;29.6309957
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYKOZ;YALIKÖY;OSMANLI;41.1228017;29.1051816
AHÞAP EV;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;MECÝDÝYE;OSMANLI;41.0509393;29.021261
HAN;FATÝH;AYVANSARAY;OSMANLI;41.03543930000001;28.9426752
DÜKKAN;FATÝH;DEMÝRTAÞ;OSMANLI;41.0178761;28.9682914
VALENS SU KEMERÝ ÜZERÝ KALINTILAR;FATÝH;KALENDERHANE;;41.0159531;28.955613
KARE PLANLI KORUGAN;ÇATALCA;YAZLIK;CUMHURÝYET;41.293886;28.517639
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BOSTAN;;41.049433;28.944783
AHÞAP EV;FATÝH;ZEYREK;OSMANLI;41.0588715;28.9948144
VALÝDE KETHÜDA MEHMET EFENDÝ MEDRESESÝ SIBYAN MEKTEBÝ VE DÜKKAN;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.03552730000001;28.9660266
EMÝN BEY CAMÝÝ;BEYOÐLU;KALYONCU KULLUÐU;OSMANLI;41.0058454;29.0406867
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KÜÇÜK AYASOFYA;OSMANLI;41.0139702;28.9701897
DÝREKLERARASI SIRA DÜKKÂN;FATÝH;KALENDERHANE;OSMANLI;41.0124864;28.9592494
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
KARA SURLARI, ANA SUR, T13;ZEYTÝNBURNU;KAZLIÇEÞME;ROMA;41.014811;28.922123
AHÞAP EV;BEYKOZ;YALIKÖY;OSMANLI;41.1405254;29.0823555
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;GÖKSU;OSMANLI;41.1728807;29.6122329
AHÞAP EV;FATÝH;ÞEHREMÝNÝ;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
AVUSTURYA BAÞKONSOLOSLUÐU-KÝLÝSE;SARIYER;YENÝKÖY;OSMANLI;41.1258236;29.0694968
DÜKKÂN;FATÝH;MERCAN;OSMANLI;41.0178761;28.9682914
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
AHÞAP EV;FATÝH;ZEYREK;OSMANLI;41.0588715;28.9948144
AHÞAP EV;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0338085;29.03165
KÂRGÝR EV;FATÝH;HACI KADIN;CUMHURÝYET;41.0186888;28.9594145
HASEKÝ SULTAN CAMÝÝ - KUYU;FATÝH;CERRAHPAÞA;;41.008634;28.941732
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.068056;29.043056
SARNIÇ;FATÝH;AKSARAY;OSMANLI;41.0074098;28.973556
DERÝ VE KUNDURA FABRÝKASI-10;BEYKOZ;YALIKÖY;OSMANLI;41.140419;29.087103
SN.ANTUAN KÝLÝSESÝ AVLUSU;BEYOÐLU;TOMTOM;OSMANLI;41.0323076;28.9771334
ÇÝFTLÝK YAPISI;AVCILAR;FÝRUZKÖY;;41.0602745;28.7261351
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;MADEN;OSMANLI;41.1789064;29.0394778
YENÝ CAMÝÝ;SARIYER;RUMELÝFENERÝ;CUMHURÝYET;41.2337511;29.1115986
KARGÝR EV;FATÝH;ÞEHSUVAR BEY;OSMANLI;41.0047076;28.96814719999999
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;KURNA;OSMANLI;41.1861738;29.3724257
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;BURGAZADA;OSMANLI;40.88;29.0669444
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;SÝNANPAÞA;;41.0418657;29.0051116
KAGÝR EV;KADIKÖY;CAFERAÐA;OSMANLI;40.9837196;29.0256257
HALVET-Ý BAKÝ EFENDÝ TEKKESÝ-TEVHÝDHANE;FATÝH;KEMALPAÞA;OSMANLI;41.0168639;28.9470422
ÝSTANBUL ÜNÝVERSÝTESÝ SÜLEYMANÝYE KAPISI;FATÝH;SÜLEYMANÝYE;OSMANLI;41.0126037;28.961838
MÝHRÝMAH SULTAN KÜLLÝYESÝ - TÜRBE;FATÝH;KARAGÜMRÜK;OSMANLI;41.0267792;29.0159815
YILDIZ MAHALLESÝ EVLERÝ;BEÞÝKTAÞ;YILDIZ;CUMHURÝYET;41.04262629999999;29.0089164
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;EMÝN SÝNAN;OSMANLI;41.0068163;28.9699665
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER MERKEZ;;41.1622917;29.0474203
I. ABDÜLHAMÝD KÜLLÝYESÝ - DUVAR;FATÝH;HOBYAR;OSMANLI;41.0146994;28.9739688
DÜKKÂN;FATÝH;MERCAN;OSMANLI;41.0178761;28.9682914
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
MERYEM KADIN ÇEÞMESÝ, ÇUHADAR SÜLEYMAN AÐA ÇEÞMESÝ;ÜSKÜDAR;KISIKLI;OSMANLI;41.04356749999999;29.0085592
GÖKSU MERYEM ANA AYAZMASI;BEYKOZ;GÖZTEPE;;41.077254;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BEDRETTÝN;CUMHURÝYET;41.049433;28.944783
PERVANE DEDE HAZÝRESÝ;FATÝH;AKSARAY;OSMANLI;41.0058167;28.9448083
VANÝ TEKKESÝ;FATÝH;SEYYÝD ÖMER;OSMANLI;41.0082343;28.9287873
HACI ALÝ BEY CAMÝSÝ;BEYKOZ;YALIKÖY;OSMANLI;41.138792;29.08759209999999
SENÝYE SULTAN KÖÞKÜ-MÜÞTEMÝLAT;BEÞÝKTAÞ;BALMUMCU;OSMANLI;41.0591046;29.0147137
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;RASÝMPAÞA;OSMANLI;40.9919939;29.0291886
DÜKKÂN;FATÝH;MERCAN;OSMANLI;41.0178761;28.9682914
KÂRGÝR EV;FATÝH;AYVANSARAY;OSMANLI;41.03543930000001;28.9426752
RIDVAN PAÞA KÖÞKÜ-AHIRLAR;KADIKÖY;GÖZTEPE;OSMANLI;40.9776309;29.0724414
ÞEHZADE ABDÜLKADÝR EFENDÝ KÖÞKÜ;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
ANARAD HIÐUTYUN ERMENÝ KATOLÝK KÝLÝSESÝ - MÜÞTEMÝLAT;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.999368;28.9307362
ÇEÞNÝGÝR YOSUNLU KEMER;EYÜPSULTAN;MÝTHATPAÞA;OSMANLI;41.1651292;28.9399319
AHÞAP EV;BEYKOZ;KANLICA;OSMANLI;41.0850841;29.0066473
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ÞEHSUVAR BEY;OSMANLI;41.0047076;28.96814719999999
SANTA MARÝA HAN;BEYOÐLU;TOMTOM;OSMANLI;41.0302221;28.9756606
ROKETHANE DEPOSU;SARIYER;KUMKÖY (KÝLYOS);OSMANLI;41.24919999999999;29.0375
KAZLIÇEÞME MEZARLIÐI;ZEYTÝNBURNU;KAZLIÇEÞME;OSMANLI;40.9919175;28.912798
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;TAHTAKALE;OSMANLI;41.0139702;28.9701897
KAGIR EV;FATÝH;KATÝP KASIM;;41.0048204;28.9550479
KÂRGÝR EV;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;SOÐULLU;OSMANLI;41.0964;29.8211
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
ÝÞ HANI;FATÝH;DEMÝRTAÞ;OSMANLI;41.017498;28.9676531
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;19 MAYIS;OSMANLI;40.97462609999999;29.0881728
YILDIZ MAHALLESÝ EVLERÝ;BEÞÝKTAÞ;YILDIZ;CUMHURÝYET;41.04262629999999;29.0089164
AHÞAP EV;ÞÝLE;BALÝBEY;OSMANLI;41.1669847;29.6309957
KARA SURLARI, ÖN SUR, T66A;ZEYTÝNBURNU;MALTEPE;ROMA;41.014811;28.922123
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;KÝREÇBURNU;OSMANLI;41.1455166;29.0474474
SÝYAVUÞ PAÞA TÜRBESÝ;EYÜPSULTAN;MERKEZ;OSMANLI;41.04747649999999;28.9342776
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
BAKÝYE HANIM APARTMANI;BEYOÐLU;ÞAHKULU;OSMANLI;41.0269587;28.9741416
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞAHKULU;OSMANLI;41.049433;28.944783
AHÞAP EV;BEÞÝKTAÞ;VÝÞNEZADE;;41.0588715;28.9948144
KÂRGÝR APARTMAN;BEYOÐLU;PÜRTELAÞ HASAN EFENDÝ;CUMHURÝYET;41.0304014;28.9885218
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;SOÐULLU;OSMANLI;41.0964;29.8211
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
TOPKAPI SARAYI - FATÝH KÖÞKÜ;FATÝH;CANKURTARAN;OSMANLI;41.0115195;28.98337889999999
AHÞAP EV;KADIKÖY;HASANPAÞA;OSMANLI;41.0338085;29.03165
AHÞAP EV;BEYKOZ;KANLICA;OSMANLI;41.0850841;29.0066473
AHÞAP EV;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
ÝNCEÐÝZ KÖYÜ CAMÝÝ;ÇATALCA;ÝNCEÐÝZ;OSMANLI;41.1855;28.4039
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝÞLÝ;HALASKARGAZÝ;OSMANLI;41.0521292;28.9665703
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
BÝNBÝRDÝREK (PHÝLOKSENOS?) SARNICI;FATÝH;BÝNBÝRDÝREK;ROMA;41.0079471;28.9745387
BEBEK ÇEÞMESÝ;BEÞÝKTAÞ;BEBEK;OSMANLI;41.0767348;29.0421788
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;TÜRKALÝ;;41.0476515;29.00161829999999
SMÖ;ADALAR;NÝZAM;CUMHURÝYET;40.8622396;29.1169363
AHÞAP EV;SARIYER;TARABYA;;41.1388267;29.0385777
AHÞAP EV;BEYKOZ;ANADOLU KAVAÐI;OSMANLI;41.17314409999999;29.0939685
KARGÝR ÜSTÜ AHÞAP EV;SÝLÝVRÝ;FATÝH;OSMANLI;41.020169;28.933864
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;GÖÇE;OSMANLI;41.1147163;29.8484171
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;VÝÞNEZADE;;41.0415031;28.9987081
HAZÝRE;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;41.04819800000001;28.93513339999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
AHÞAP EV;KADIKÖY;CAFERAÐA;OSMANLI;41.0338085;29.03165
SPOR SALONU;ADALAR;BURGAZADA;;40.88;29.0669444
KAYIP SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER YENÝMAHALLE;;41.1814742;29.0385466
SARNIÇ;FATÝH;SÜLEYMANÝYE;BÝZANS;41.0074098;28.973556
SU KUYUSU;ÜSKÜDAR;KANDÝLLÝ;OSMANLI;41.01682960000001;28.9519799
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KALYONCU KULLUÐU;CUMHURÝYET;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ATÝKALÝ;OSMANLI;41.0139702;28.9701897
AHÞAP EV;ÜSKÜDAR;VALÝDE-Ý ATÝK;OSMANLI;41.0338085;29.03165
KÂRGÝR APARTMAN;FATÝH;MÝMAR HAYRETTÝN;OSMANLI;41.0074242;28.9666918
AHÞAP EV;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0588715;28.9948144
AHÞAP EV;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;SURURÝ MEHMET EFENDÝ;;41.0371087;28.9725134
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;RASÝMPAÞA;OSMANLI;40.9919939;29.0291886
AHÞAP EV;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;BÜYÜKDERE;OSMANLI;41.1635035;29.0450624
AHÞAP EV;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0361216;29.0372643
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;KURUÇEÞME;OSMANLI;41.0616299;29.0329
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.049433;28.944783
;ÜSKÜDAR;SELÝMÝYE;;41.0079758;28.9825584
